stadium,home_link,img_link
Tiger Stadium,http://www.andrewclem.com/Baseball/TigerStadium.html,http://www.andrewclem.com/Baseball/Diag/TigerStadium1955.gif
Turner Field,http://www.andrewclem.com/Baseball/TurnerField.html,http://www.andrewclem.com/Baseball/Diag/TurnerField.gif
Veterans Stadium,http://www.andrewclem.com/Baseball/VeteransStadium.html,http://www.andrewclem.com/Baseball/Diag/VeteransStadium_full.gif
Wrigley Field (L.A.),http://www.andrewclem.com/Baseball/WrigleyField_LA.html,http://www.andrewclem.com/Baseball/Diag/WrigleyField_LA.gif
Yankee Stadium,http://www.andrewclem.com/Baseball/YankeeStadium.html,http://www.andrewclem.com/Baseball/Diag/YankeeStadium1988.gif
Sahlen Field,http://www.andrewclem.com/Baseball/SahlenField.html,http://www.andrewclem.com/Baseball/Diag/SahlenField.gif
Estadio Latinoamericano,http://www.andrewclem.com/Baseball/EstadioLatinoamericano.html,http://www.andrewclem.com/Baseball/Diag/EstadioLatinoamericano.gif
Cashman Field,http://www.andrewclem.com/Baseball//Baseball/CashmanField.html,
Tokyo Dome,http://www.andrewclem.com/Baseball/TokyoDome.html,http://www.andrewclem.com/Baseball/Diag/TokyoDome_lights.gif
Aloha Stadium,http://www.andrewclem.com/Baseball/AlohaStadium.html,http://www.andrewclem.com/Baseball/Diag/AlohaStadium.gif
Estadio Monterrey,http://www.andrewclem.com/Baseball/EstadioMonterrey.html,http://www.andrewclem.com/Baseball/Diag/EstadioMonterrey.gif
Fort Bragg Stadium,http://www.andrewclem.com/Baseball/FortBraggStadium.html,
Roosevelt Stadium,http://www.andrewclem.com/Baseball/RooseveltStadium.html,http://www.andrewclem.com/Baseball/Diag/RooseveltStadium.gif
Hiram Bithorn Stadium,http://www.andrewclem.com/Baseball/HiramBithornStadium.html,http://www.andrewclem.com/Baseball/Diag/HiramBithornStadium.gif
Superdome,http://www.andrewclem.com/Baseball/Superdome.html,http://www.andrewclem.com/Baseball/Diag/Superdome_FB2011.gif
The Diamond,http://www.andrewclem.com/Baseball/TheDiamond.html,http://www.andrewclem.com/Baseball/Diag/TheDiamond.gif
War Memorial Stadium,http://www.andrewclem.com/Baseball/WarMemorialStadium.html,http://www.andrewclem.com/Baseball/Diagram/WarMemorialStadium1965.gif
TD Ameritrade Park,http://www.andrewclem.com/Baseball/TDAmeritradePark.html,http://www.andrewclem.com/Baseball/Diag/TDAmeritradePark.gif
Davenport Field,http://www.andrewclem.com/Baseball/DavenportField.html,http://www.andrewclem.com/Baseball/Diag/DavenportField.gif
Estadio Dennis Martinez,http://www.andrewclem.com/Baseball/EstadioDennisMartinez.html,http://www.andrewclem.com/Baseball/Diag/EstadioDennisMartinez.gif
Foro Sol,http://www.andrewclem.com/Baseball/ForoSol.html,http://www.andrewclem.com/Baseball/Diag/ForoSol.gif
Dakotadome,http://www.andrewclem.com/Baseball/Dakotadome.html,
Field of Dreams,http://www.andrewclem.com/Baseball/FieldOfDreams.html,http://www.andrewclem.com/Baseball/Diag/FieldOfDreams2021.gif
Periodic table of the stadiums,http://www.andrewclem.com/Baseball/Periodic_table_of_stadiums.html,
Truist (ex-SunTrust) Park *,http://www.andrewclem.com/Baseball//Baseball/TruistPark.html,
Rate Field,http://www.andrewclem.com/Baseball//Baseball/USCellularField.html,
Daikin Park,http://www.andrewclem.com/Baseball//Baseball/MinuteMaidPark.html,
(K.C.) Municipal Stadium,http://www.andrewclem.com/Baseball//Baseball/KC_MunicipalStadium.html,
(L.A.) Memorial Coliseum,http://www.andrewclem.com/Baseball//Baseball/MemorialColiseum.html,
County Stadium,http://www.andrewclem.com/Baseball//Baseball/MilwaukeeCountyStadium.html,
Oracle Park (ex-AT&T Park),http://www.andrewclem.com/Baseball//Baseball/ATTPark.html,
